side,entry_time,exit_time,duration_hours,entry_price,exit_price,price_move_pct,net_pnl,return_on_equity,r_multiple,exit_category,exit_reason,result,year,entry_hour
short,2024-01-31T11:00:00+00:00,2024-01-31T15:00:00+00:00,4.0,42376.243056,43049.77180414286,-1.5894017486467487,-66.33179164650197,-0.03193009409391306,-1.0643364697971018,risk_stop,risk_stop,loss,2024,11
long,2024-02-14T10:00:00+00:00,2024-02-15T17:00:00+00:00,31.0,51561.41022,52254.866936,1.344914177174731,20.484990036439147,0.010186089972807257,0.33953633242690856,correction_exit,correction depth 2.74 ATR >= 2.5,win,2024,10
short,2024-02-17T15:00:00+00:00,2024-02-17T21:00:00+00:00,6.0,50830.921782,51778.63847839285,-1.8644491643440053,-64.28863137185479,-0.03164495970845314,-1.0548319902817713,risk_stop,risk_stop,loss,2024,15
long,2024-02-26T18:00:00+00:00,2024-02-27T04:00:00+00:00,10.0,53513.310522,55656.46648,4.004902587962531,145.72636789602393,0.07407538033656112,2.4691793445520376,correction_exit,correction depth 4.31 ATR >= 2.5,win,2024,18
long,2024-02-28T09:00:00+00:00,2024-02-28T20:00:00+00:00,11.0,59460.309684,60938.90978,2.486700967179581,37.252867368794426,0.017630340241949972,0.587678008064999,correction_exit,correction depth 10.11 ATR >= 2.5,win,2024,9
long,2024-03-04T10:00:00+00:00,2024-03-05T04:00:00+00:00,18.0,65303.348057999996,68100.32721,4.283056282988484,119.83691883923618,0.05573160814789459,1.8577202715964862,correction_exit,two opposing-body correction bars with depth 1.66 ATR,win,2024,10
short,2024-03-22T15:00:00+00:00,2024-03-23T00:00:00+00:00,9.0,62727.442001999996,63809.399328,-1.7248548505540944,-40.914727720770486,-0.01802341495849383,-0.6007804986164611,correction_exit,two opposing-body correction bars with depth 2.16 ATR,loss,2024,15
long,2024-03-25T15:00:00+00:00,2024-03-25T23:00:00+00:00,8.0,69391.07544,70295.928002,1.3039898232769054,21.004118818795025,0.009422382935568343,0.31407943118561144,correction_exit,correction depth 2.55 ATR >= 2.5,win,2024,15
short,2024-03-29T17:00:00+00:00,2024-03-30T05:00:00+00:00,12.0,69162.624708,70267.90523517856,-1.5980893319838319,-71.8246715297951,-0.03191956778491217,-1.0639855928304058,risk_stop,risk_stop,loss,2024,17
short,2024-04-02T04:00:00+00:00,2024-04-02T19:00:00+00:00,15.0,66690.629206,65824.17220199999,1.2992185173776374,18.140974635307977,0.008327842974861648,0.2775947658287216,correction_exit,two opposing-body correction bars with depth 1.84 ATR,win,2024,4
long,2024-04-08T09:00:00+00:00,2024-04-08T15:00:00+00:00,6.0,71982.3936,71711.64480200001,-0.37613197402758497,-9.320502096707102,-0.004243355920045877,-0.14144519733486258,correction_exit,correction depth 3.02 ATR >= 2.5,loss,2024,9
short,2024-04-13T21:00:00+00:00,2024-04-13T23:00:00+00:00,2.0,61803.646798,64306.328693999996,-4.049408126643074,-29.502647079515796,-0.013488943121323873,-0.4496314373774624,correction_exit,correction depth 3.04 ATR >= 2.5,loss,2024,21
long,2024-04-15T00:00:00+00:00,2024-04-15T17:00:00+00:00,17.0,65674.98237,63415.62165996429,-3.4402151755548482,-66.58331032709667,-0.030858894611178876,-1.0286298203726292,risk_stop,risk_stop,loss,2024,0
short,2024-04-17T16:00:00+00:00,2024-04-18T11:00:00+00:00,19.0,60292.88901,62854.853099785716,-4.249197760884865,-64.25398134205234,-0.0307275554210846,-1.0242518473694868,risk_stop,risk_stop,loss,2024,16
short,2024-04-24T20:00:00+00:00,2024-04-24T22:00:00+00:00,2.0,63963.254790000006,64412.249874,-0.7019578435683208,-27.95504407763816,-0.013792477457139832,-0.45974924857132776,correction_exit,two opposing-body correction bars with depth 1.60 ATR,loss,2024,20
short,2024-04-29T04:00:00+00:00,2024-04-29T16:00:00+00:00,12.0,62267.224064,63051.677813999995,-1.2598180853440804,-45.20615685697606,-0.022615769968330503,-0.7538589989443502,correction_exit,correction depth 3.77 ATR >= 2.5,loss,2024,4
long,2024-05-03T14:00:00+00:00,2024-05-04T03:00:00+00:00,13.0,61702.28799,62686.530186,1.5951470003179158,19.18843489864419,0.009821730563895898,0.32739101879652993,correction_exit,two opposing-body correction bars with depth 1.83 ATR,win,2024,14
short,2024-05-08T22:00:00+00:00,2024-05-09T13:00:00+00:00,15.0,61473.65281,61528.963332,-0.0899743540065059,-6.9158856102246,-0.003505512760341191,-0.11685042534470638,correction_exit,two opposing-body correction bars with depth 2.10 ATR,loss,2024,22
long,2024-05-15T20:00:00+00:00,2024-05-16T17:00:00+00:00,21.0,66019.431246,64771.952125321426,-1.889563568080798,-62.096712544125616,-0.031586205701350616,-1.052873523378354,risk_stop,risk_stop,loss,2024,20
long,2024-05-17T16:00:00+00:00,2024-05-20T23:00:00+00:00,79.0,67208.529018,69576.851846,3.52384267682114,93.41562358928697,0.049066762186844706,1.6355587395614903,correction_exit,correction depth 3.14 ATR >= 2.5,win,2024,16
short,2024-05-23T15:00:00+00:00,2024-05-23T23:00:00+00:00,8.0,67735.070276,67700.01729599999,0.05175011977868678,-0.5887184985791276,-0.00029476264058110184,-0.009825421352703395,correction_exit,correction depth 4.17 ATR >= 2.5,loss,2024,15
long,2024-05-30T19:00:00+00:00,2024-05-30T20:00:00+00:00,1.0,69374.002026,68532.77838103572,-1.2125920667644439,-64.88557710369068,-0.03249682715154859,-1.0832275717182864,risk_stop,risk_stop,loss,2024,19
short,2024-05-31T16:00:00+00:00,2024-06-02T11:00:00+00:00,43.0,67202.136884,68184.4050470357,-1.4616620967443705,-62.0094816030511,-0.032099516545912817,-1.0699838848637606,risk_stop,risk_stop,loss,2024,16
long,2024-06-04T17:00:00+00:00,2024-06-04T21:00:00+00:00,4.0,70814.16,70388.60946200001,-0.6009398939421097,-18.57279461442106,-0.009933148774370884,-0.33110495914569615,correction_exit,two opposing-body correction bars with depth 2.30 ATR,loss,2024,17
short,2024-06-11T03:00:00+00:00,2024-06-11T18:00:00+00:00,15.0,68254.96627599999,66784.3542,2.1545861879900907,57.24360255833365,0.030922323677722446,1.0307441225907483,correction_exit,two opposing-body correction bars with depth 1.79 ATR,win,2024,3
short,2024-06-21T09:00:00+00:00,2024-06-21T15:00:00+00:00,6.0,63626.912072,64235.674566,-0.9567688799845084,-31.622635094899817,-0.016569800390087163,-0.5523266796695722,correction_exit,correction depth 2.97 ATR >= 2.5,loss,2024,9
short,2024-06-23T17:00:00+00:00,2024-06-23T19:00:00+00:00,2.0,63914.69450400001,64124.812397999995,-0.3287473962452222,-47.28090216487785,-0.025191929608275196,-0.8397309869425066,correction_exit,correction depth 2.55 ATR >= 2.5,loss,2024,17
short,2024-06-24T04:00:00+00:00,2024-06-24T09:00:00+00:00,5.0,62849.4276,62743.466184,0.16859567389282884,5.096642163357774,0.0027857408075805373,0.09285802691935124,correction_exit,correction depth 2.56 ATR >= 2.5,win,2024,4
short,2024-07-02T16:00:00+00:00,2024-07-02T19:00:00+00:00,3.0,61935.690384,62342.476002,-0.6567870891208918,-28.673405615351328,-0.015628874069392246,-0.5209624689797415,correction_exit,two opposing-body correction bars with depth 1.72 ATR,loss,2024,16
short,2024-07-05T04:00:00+00:00,2024-07-06T15:00:00+00:00,35.0,55216.9544,57441.914835749994,-4.029487790347944,-55.563252419876044,-0.03076643716396752,-1.025547905465584,risk_stop,risk_stop,loss,2024,4
short,2024-07-08T01:00:00+00:00,2024-07-08T08:00:00+00:00,7.0,55082.991198,56660.70666107143,-2.864251611536872,-54.39047800514633,-0.031073056754483974,-1.0357685584827991,risk_stop,risk_stop,loss,2024,1
long,2024-07-14T06:00:00+00:00,2024-07-15T00:00:00+00:00,18.0,60277.443078,60785.750418,0.8432795321829571,24.245623467678943,0.014295634185813916,0.47652113952713054,correction_exit,two opposing-body correction bars with depth 1.70 ATR,win,2024,6
long,2024-07-15T04:00:00+00:00,2024-07-16T07:00:00+00:00,27.0,62660.399574,62887.060072,0.3617284593474678,6.067920957732871,0.0035273246130788373,0.11757748710262791,correction_exit,correction depth 3.90 ATR >= 2.5,win,2024,4
